,Learning Rate,Number of Epochs,Batch Size,Dropout,Activation Function,Additional Convolution Layer,Normalization,Loss,Accuracy,Training Time,OrigRunID,A,B,C,D,E,F,G,RandomRunID
0,0.0001,10.0,50.0,0.0,tanh,1.0,0.0,0.03887717302870005,0.9876999855041504,458.66986560821533,26,1,1,-1,-1,1,1,-1,1
1,0.01,10.0,50.0,0.0,tanh,0.0,1.0,0.4418952929019928,0.8690999746322632,555.6433029174805,10,-1,1,-1,-1,1,-1,1,2
2,0.01,10.0,100.0,0.0,tanh,1.0,1.0,0.670504506111145,0.8004999756813049,488.775808095932,14,-1,1,1,-1,1,1,1,3
3,0.01,2.0,50.0,1.0,tanh,0.0,1.0,0.3319420404791832,0.8937000036239624,135.98948407173157,4,-1,-1,-1,1,1,-1,1,4
4,0.0001,2.0,100.0,1.0,tanh,0.0,0.0,0.12218374978899955,0.9648000001907349,101.96551203727722,24,1,-1,1,1,1,-1,-1,5
5,0.01,2.0,50.0,1.0,relu,0.0,0.0,0.1591238977484405,0.9527000188827515,95.30937099456787,3,-1,-1,-1,1,-1,-1,-1,6
6,0.01,10.0,50.0,1.0,tanh,1.0,0.0,0.385344923555851,0.8729000091552734,509.05564045906067,12,-1,1,-1,1,1,1,-1,7
7,0.01,10.0,100.0,1.0,relu,0.0,1.0,0.07097116487896055,0.9833999872207642,328.87740659713745,15,-1,1,1,1,-1,-1,1,8
8,0.01,2.0,100.0,1.0,relu,1.0,0.0,0.12717940253652632,0.9596999883651733,52.697614431381226,7,-1,-1,1,1,-1,1,-1,9
9,0.01,2.0,50.0,0.0,tanh,1.0,0.0,2.3503402587890627,0.11349999904632568,91.5357882976532,2,-1,-1,-1,-1,1,1,-1,10
10,0.01,2.0,50.0,0.0,relu,1.0,1.0,0.7141235822707415,0.8129000067710876,64.35055661201477,1,-1,-1,-1,-1,-1,1,1,11
11,0.01,2.0,100.0,0.0,relu,0.0,1.0,0.09164575871041161,0.9753999710083008,51.322229862213135,5,-1,-1,1,-1,-1,-1,1,12
12,0.0001,2.0,50.0,0.0,tanh,0.0,1.0,0.050626388891786334,0.9848999977111816,108.47550988197327,18,1,-1,-1,-1,1,-1,1,13
13,0.0001,10.0,100.0,1.0,relu,1.0,0.0,0.05254708796851337,0.9837999939918518,258.59322714805603,31,1,1,1,1,-1,1,-1,14
14,0.0001,10.0,100.0,1.0,tanh,1.0,1.0,0.044958689130377025,0.9865000247955322,488.6389524936676,32,1,1,1,1,1,1,1,15
15,0.0001,2.0,100.0,0.0,relu,1.0,0.0,0.13360481719374656,0.9610999822616577,46.07607698440552,21,1,-1,1,-1,-1,1,-1,16
16,0.0001,2.0,50.0,1.0,tanh,1.0,0.0,0.10934230376631021,0.9661999940872192,98.33180809020996,20,1,-1,-1,1,1,1,-1,17
17,0.0001,2.0,100.0,0.0,tanh,1.0,1.0,0.0696780305031687,0.9800000190734863,92.15838313102722,22,1,-1,1,-1,1,1,1,18
18,0.0001,10.0,50.0,1.0,relu,0.0,0.0,0.034568418976129035,0.9882000088691711,410.2262153625488,27,1,1,-1,1,-1,-1,-1,19
19,0.0001,10.0,100.0,0.0,tanh,0.0,0.0,0.039969738282822076,0.9878000020980835,412.71171021461487,30,1,1,1,-1,1,-1,-1,20
20,0.01,2.0,100.0,1.0,tanh,1.0,1.0,0.5775098755717277,0.82669997215271,99.49049377441406,8,-1,-1,1,1,1,1,1,21
21,0.0001,10.0,50.0,1.0,tanh,0.0,1.0,0.03752665705661057,0.9886000156402588,619.8761646747589,28,1,1,-1,1,1,-1,1,22
22,0.0001,2.0,50.0,0.0,relu,0.0,0.0,0.07491634525842965,0.9765999913215637,68.04510498046875,17,1,-1,-1,-1,-1,-1,-1,23
23,0.01,10.0,50.0,1.0,relu,1.0,1.0,0.2592271399055966,0.9386000037193298,357.9945373535156,11,-1,1,-1,1,-1,1,1,24
24,0.01,10.0,100.0,0.0,relu,1.0,0.0,0.10774182838518173,0.9722999930381775,227.37767028808594,13,-1,1,1,-1,-1,1,-1,25
25,0.01,10.0,100.0,1.0,tanh,0.0,0.0,0.1859640507057309,0.9412999749183655,476.9010202884674,16,-1,1,1,1,1,-1,-1,26
26,0.0001,10.0,100.0,0.0,relu,0.0,1.0,0.03953897037083434,0.989300012588501,254.6805021762848,29,1,1,1,-1,-1,-1,1,27
27,0.0001,2.0,100.0,1.0,relu,0.0,1.0,0.06835852311775088,0.9767000079154968,65.92944288253784,23,1,-1,1,1,-1,-1,1,28
28,0.0001,10.0,50.0,0.0,relu,1.0,1.0,0.057018541908866065,0.986299991607666,315.2642548084259,25,1,1,-1,-1,-1,1,1,29
29,0.01,2.0,100.0,0.0,tanh,0.0,0.0,0.14132886051088572,0.9538999795913696,82.68886709213257,6,-1,-1,1,-1,1,-1,-1,30
30,0.0001,2.0,50.0,1.0,relu,1.0,1.0,0.07454872253495269,0.9761999845504761,71.85479426383972,19,1,-1,-1,1,-1,1,1,31
31,0.01,10.0,50.0,0.0,relu,0.0,0.0,0.10206678002973713,0.975600004196167,334.457524061203,9,-1,1,-1,-1,-1,-1,-1,32
